seq.links;X1;first_name;second_name;party2;party;constituency
https://www.parlament.ba/Representative/List?page=1&mandateId=8;NA;Ahmetovic;Sadik;Klub poslanika Nezavisni blok;Samostalni poslanik;RS / Izborna jedinica 3
https://www.parlament.ba/Representative/List?page=1&mandateId=8;NA;Arnaut;Damir;Klub poslanika SBBBiH;SBB - Fahrudin Radoncic;FBiH / Izborna jedinica 3
https://www.parlament.ba/Representative/List?page=1&mandateId=8;NA;Backovic;Zaim;;BPS - Sefer Halilovic;FBiH / Izborna jedinica 3
https://www.parlament.ba/Representative/List?page=1&mandateId=8;NA;Becirovic;Damir;Klub poslanika DF;Demokratska fronta - Zeljko Komsic;FBiH / Izborna jedinica 5
https://www.parlament.ba/Representative/List?page=1&mandateId=8;NA;Becirovic;Denis;Klub poslanika SDP BiH;SDP BiH;FBiH / Izborna jedinica 5
https://www.parlament.ba/Representative/List?page=1&mandateId=8;NA;Beganovic;Mensura;Klub poslanika DF;Demokratska fronta - Zeljko Komsic;FBiH / Izborna jedinica 4
https://www.parlament.ba/Representative/List?page=1&mandateId=8;NA;Bojic;Borislav;Klub poslanika Demokratski narodni savez - DNS;Samostalni poslanik;RS / Izborna jedinica 1
https://www.parlament.ba/Representative/List?page=1&mandateId=8;NA;Bosic;Mladen;Klub poslanika SDS;SDS;RS / Izborna jedinica 2
https://www.parlament.ba/Representative/List?page=1&mandateId=8;NA;Demirovic;Safer;;Samostalni poslanik;FBiH / Izborna jedinica 5
https://www.parlament.ba/Representative/List?page=1&mandateId=8;NA;Dzaferovic;Sefik;Klub poslanika SDA;SDA;FBiH / Izborna jedinica 4
https://www.parlament.ba/Representative/List?page=2&mandateId=8;NA;Donlagic;Mirsad;Klub poslanika SBBBiH;SBB - Fahrudin Radoncic;FBiH / Izborna jedinica 5
https://www.parlament.ba/Representative/List?page=2&mandateId=8;NA;Emric;Jasmin;;A – SDA – Za evropsku Bosnu i Hercegovinu – Zajedno;FBiH / Izborna jedinica 1
https://www.parlament.ba/Representative/List?page=2&mandateId=8;NA;Fazlic;Amir;Klub poslanika SDA;SDA;FBiH / Izborna jedinica 5
https://www.parlament.ba/Representative/List?page=2&mandateId=8;NA;Gasal-Vrazalica;Maja;Klub poslanika DF;Demokratska fronta - Zeljko Komsic;FBiH / Izborna jedinica 3
https://www.parlament.ba/Representative/List?page=2&mandateId=8;NA;Isakovic;Mirsad;Klub poslanika SBBBiH;SBB - Fahrudin Radoncic;FBiH / Izborna jedinica 4
https://www.parlament.ba/Representative/List?page=2&mandateId=8;NA;Kapetanovic;Nermina;Klub poslanika SDA;SDA;FBiH / Izborna jedinica 4
https://www.parlament.ba/Representative/List?page=2&mandateId=8;NA;Komsic;Zeljko;Klub poslanika DF;Demokratska fronta - Zeljko Komsic;FBiH / Izborna jedinica 3
https://www.parlament.ba/Representative/List?page=2&mandateId=8;NA;Kosarac;Stasa;Klub poslanika SNSD;SNSD;RS / Izborna jedinica 3
https://www.parlament.ba/Representative/List?page=2&mandateId=8;NA;Kozul;Predrag;Klub poslanika HDZ BiH - Hrvatski narodni sabor;Koalicija HDZ BiH, HSS, HKDU BiH, HSP DR. Ante Starcevic, HSP Herceg-Bosne;FBiH / Izborna jedinica 2
https://www.parlament.ba/Representative/List?page=2&mandateId=8;NA;Krcmar;Dordo;Klub poslanika Demokratski narodni savez - DNS;DNS;RS / Izborna jedinica 1
https://www.parlament.ba/Representative/List?page=3&mandateId=8;NA;Kristo;Borjana;Klub poslanika HDZ BiH - Hrvatski narodni sabor;Koalicija HDZ BiH, HSS, HKDU BiH, HSP DR. Ante Starcevic, HSP Herceg-Bosne;FBiH / Izborna jedinica 1
https://www.parlament.ba/Representative/List?page=3&mandateId=8;NA;Lalic;Nenad;Klub poslanika SDS;SDS;RS / Izborna jedinica 2
https://www.parlament.ba/Representative/List?page=3&mandateId=8;NA;Lovrinovic;Nikola;Klub poslanika HDZ BiH - Hrvatski narodni sabor;Koalicija HDZ BiH, HSS, HKDU BiH, HSP DR. Ante Starcevic, HSP Herceg-Bosne;FBiH / Izborna jedinica 4
https://www.parlament.ba/Representative/List?page=3&mandateId=8;NA;Magazinovic;Sasa;Klub poslanika SDP BiH;SDP BiH;FBiH / Izborna jedinica 3
https://www.parlament.ba/Representative/List?page=3&mandateId=8;NA;Majkic;Dusanka;Klub poslanika SNSD;SNSD;RS / Izborna jedinica 1
https://www.parlament.ba/Representative/List?page=3&mandateId=8;NA;Markovic;Milica;Klub poslanika SNSD;SNSD;RS / Izborna jedinica 2
https://www.parlament.ba/Representative/List?page=3&mandateId=8;NA;Mehmedovic;Semsudin;Klub poslanika SDA;SDA;FBiH / Izborna jedinica 4
https://www.parlament.ba/Representative/List?page=3&mandateId=8;NA;Mesic;Mirsad;Klub poslanika SDP BiH;SDP BiH;FBiH / Izborna jedinica 4
https://www.parlament.ba/Representative/List?page=3&mandateId=8;NA;Milovanovic;Miroslav;Klub poslanika SNSD;SNSD;RS / Izborna jedinica 2
https://www.parlament.ba/Representative/List?page=3&mandateId=8;NA;Novakovic;Momcilo;;PDP-NDP;RS / Izborna jedinica 1
https://www.parlament.ba/Representative/List?page=4&mandateId=8;NA;Pandurevic;Aleksandra;Klub poslanika SDS;SDS;RS / Izborna jedinica 3
https://www.parlament.ba/Representative/List?page=4&mandateId=8;NA;Prodanovic;Lazar;Klub poslanika SNSD;SNSD;RS / Izborna jedinica 3
https://www.parlament.ba/Representative/List?page=4&mandateId=8;NA;Rancic;Hazim;Klub poslanika SDA;SDA;FBiH / Izborna jedinica 4
https://www.parlament.ba/Representative/List?page=4&mandateId=8;NA;Sarajlic;Asim;Klub poslanika SDA;SDA;FBiH / Izborna jedinica 3
https://www.parlament.ba/Representative/List?page=4&mandateId=8;NA;Sokolovic;Salko;Klub poslanika Nezavisni blok;Samostalni poslanik;FBiH / Izborna jedinica 2
https://www.parlament.ba/Representative/List?page=4&mandateId=8;NA;Sepic;Senad;Klub poslanika Nezavisni blok;Samostalni poslanik;FBiH / Izborna jedinica 1
https://www.parlament.ba/Representative/List?page=4&mandateId=8;NA;Skaljic;Fehim;Klub poslanika SBBBiH;SBB - Fahrudin Radoncic;FBiH / Izborna jedinica 3
https://www.parlament.ba/Representative/List?page=4&mandateId=8;NA;Spiric;Nikola;Klub poslanika SNSD;SNSD;RS / Izborna jedinica 1
https://www.parlament.ba/Representative/List?page=4&mandateId=8;NA;Tomic;Monika;Klub poslanika HDZ BiH - Hrvatski narodni sabor;Koalicija HDZ BiH, HSS, HKDU BiH, HSP DR. Ante Starcevic, HSP Herceg-Bosne;FBiH / Izborna jedinica 2
https://www.parlament.ba/Representative/List?page=4&mandateId=8;NA;Vajzovic;Hanka;Klub poslanika DF;Demokratska fronta - Zeljko Komsic;FBiH / Izborna jedinica 3
https://www.parlament.ba/Representative/List?page=5&mandateId=8;NA;Vukovljak;Jovan;Klub poslanika Demokratski narodni savez - DNS;DNS;RS / Izborna jedinica 2
https://www.parlament.ba/Representative/List?page=5&mandateId=8;NA;Zelenika;Diana;Klub poslanika HDZ BiH - Hrvatski narodni sabor;HDZ 1990;FBiH / Izborna jedinica 2
